TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;ID_SUBCLASSE;DENOM_SOCIAL;DT_COMPTC;ANO_RENTAB;PR_RENTAB_ANO;PR_VARIACAO_INDICE_REFER_ANO;PR_PERFM_INDICE_REFER_ANO;RENTAB_ANO_OBS
CLASSES - FIF;01.562.582/0001-62;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO ATIVO - RESP LIMITADA;2025-04-30;2024;10.12;10.87;93.09;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.562.582/0001-62;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO ATIVO - RESP LIMITADA;2025-04-30;2025;4.18;4.07;102.74;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.587.403/0001-41;;BANESTES VIP DI FIC DE FIF RENDA FIXA REFERENCIADO DI RESPONSABILIDADE LIMITADA;2025-04-30;2021;5.05;4.42;114.26;
CLASSES - FIF;01.587.403/0001-41;;BANESTES VIP DI FIC DE FIF RENDA FIXA REFERENCIADO DI RESPONSABILIDADE LIMITADA;2025-04-30;2022;12.20;12.39;98.44;
CLASSES - FIF;01.587.403/0001-41;;BANESTES VIP DI FIC DE FIF RENDA FIXA REFERENCIADO DI RESPONSABILIDADE LIMITADA;2025-04-30;2023;10.92;13.04;83.78;
CLASSES - FIF;01.587.403/0001-41;;BANESTES VIP DI FIC DE FIF RENDA FIXA REFERENCIADO DI RESPONSABILIDADE LIMITADA;2025-04-30;2024;11.15;10.88;102.52;
CLASSES - FIF;01.587.403/0001-41;;BANESTES VIP DI FIC DE FIF RENDA FIXA REFERENCIADO DI RESPONSABILIDADE LIMITADA;2025-04-30;2025;4.00;4.08;98.04;
FI;01.606.543/0001-10;;BRADESCO ALOCAÇÃO MODERADA FI FINANCEIRO - CIC MULT - RESP LIMITADA;2025-04-30;2021;1.46;4.40;33.26;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.606.543/0001-10;;BRADESCO ALOCAÇÃO MODERADA FI FINANCEIRO - CIC MULT - RESP LIMITADA;2025-04-30;2022;10.29;12.37;83.15;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.606.543/0001-10;;BRADESCO ALOCAÇÃO MODERADA FI FINANCEIRO - CIC MULT - RESP LIMITADA;2025-04-30;2023;11.91;13.05;91.25;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.606.543/0001-10;;BRADESCO ALOCAÇÃO MODERADA FI FINANCEIRO - CIC MULT - RESP LIMITADA;2025-04-30;2024;7.25;10.87;66.67;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.606.543/0001-10;;BRADESCO ALOCAÇÃO MODERADA FI FINANCEIRO - CIC MULT - RESP LIMITADA;2025-04-30;2025;3.89;4.07;95.64;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.606.544/0001-64;;BRADESCO FIF - CIC MULTI GOLDEN PROFIT DINÂMICO - RESP LIMITADA;2025-04-30;2021;-0.69;4.40;-15.74;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.606.544/0001-64;;BRADESCO FIF - CIC MULTI GOLDEN PROFIT DINÂMICO - RESP LIMITADA;2025-04-30;2022;10.83;12.37;87.52;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.606.544/0001-64;;BRADESCO FIF - CIC MULTI GOLDEN PROFIT DINÂMICO - RESP LIMITADA;2025-04-30;2023;16.03;13.05;122.86;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.606.544/0001-64;;BRADESCO FIF - CIC MULTI GOLDEN PROFIT DINÂMICO - RESP LIMITADA;2025-04-30;2024;-0.53;10.87;-4.86;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.606.544/0001-64;;BRADESCO FIF - CIC MULTI GOLDEN PROFIT DINÂMICO - RESP LIMITADA;2025-04-30;2025;8.12;4.07;199.33;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.606.545/0001-09;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA MACRO - RESPONSABILIDADE LIMITADA;2025-04-30;2021;3.56;4.40;81.08;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.606.545/0001-09;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA MACRO - RESPONSABILIDADE LIMITADA;2025-04-30;2022;11.91;12.37;96.23;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.606.545/0001-09;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA MACRO - RESPONSABILIDADE LIMITADA;2025-04-30;2023;12.01;13.05;92.05;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.606.545/0001-09;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA MACRO - RESPONSABILIDADE LIMITADA;2025-04-30;2024;8.76;10.87;80.56;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.606.545/0001-09;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA MACRO - RESPONSABILIDADE LIMITADA;2025-04-30;2025;3.69;4.07;90.55;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.606.546/0001-53;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA MERCÚRIO - RESPONSABILIDADE LIMITADA;2025-04-30;2021;2.73;4.40;62.16;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.606.546/0001-53;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA MERCÚRIO - RESPONSABILIDADE LIMITADA;2025-04-30;2022;11.05;12.37;89.33;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.606.546/0001-53;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA MERCÚRIO - RESPONSABILIDADE LIMITADA;2025-04-30;2023;11.18;13.05;85.70;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.606.546/0001-53;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA MERCÚRIO - RESPONSABILIDADE LIMITADA;2025-04-30;2024;7.94;10.87;73.02;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.606.546/0001-53;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA MERCÚRIO - RESPONSABILIDADE LIMITADA;2025-04-30;2025;3.46;4.07;84.92;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.608.399/0001-50;;CSHG TOP AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FIF EM AÇÕES RESPONSABILIDADE LIMITADA;2025-04-30;2021;-14.30;-11.93;119.88;
CLASSES - FIF;01.608.399/0001-50;;CSHG TOP AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FIF EM AÇÕES RESPONSABILIDADE LIMITADA;2025-04-30;2022;3.62;4.69;77.28;
CLASSES - FIF;01.608.399/0001-50;;CSHG TOP AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FIF EM AÇÕES RESPONSABILIDADE LIMITADA;2025-04-30;2023;17.38;22.28;77.99;
CLASSES - FIF;01.608.399/0001-50;;CSHG TOP AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FIF EM AÇÕES RESPONSABILIDADE LIMITADA;2025-04-30;2024;-16.08;-10.36;155.16;
CLASSES - FIF;01.608.399/0001-50;;CSHG TOP AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FIF EM AÇÕES RESPONSABILIDADE LIMITADA;2025-04-30;2025;15.86;12.29;129.07;
FI;01.624.111/0001-31;;BECSUPER FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI - RESP LIMITADA;2025-04-30;2021;3.53;4.40;80.29;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.624.111/0001-31;;BECSUPER FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI - RESP LIMITADA;2025-04-30;2022;11.47;12.37;92.70;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.624.111/0001-31;;BECSUPER FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI - RESP LIMITADA;2025-04-30;2023;12.17;13.05;93.28;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.624.111/0001-31;;BECSUPER FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI - RESP LIMITADA;2025-04-30;2024;9.95;10.87;91.55;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.624.111/0001-31;;BECSUPER FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI - RESP LIMITADA;2025-04-30;2025;3.78;4.07;92.87;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.675.497/0001-00;;PLURAL AÇÕES FIF - CI EM AÇÕES - RESP LIMITADA;2025-04-30;2021;-16.56;-11.93;-4.63;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.675.497/0001-00;;PLURAL AÇÕES FIF - CI EM AÇÕES - RESP LIMITADA;2025-04-30;2022;-1.52;4.69;-6.21;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.675.497/0001-00;;PLURAL AÇÕES FIF - CI EM AÇÕES - RESP LIMITADA;2025-04-30;2023;17.76;22.28;-4.52;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.675.497/0001-00;;PLURAL AÇÕES FIF - CI EM AÇÕES - RESP LIMITADA;2025-04-30;2024;-16.68;-10.36;-6.32;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.675.497/0001-00;;PLURAL AÇÕES FIF - CI EM AÇÕES - RESP LIMITADA;2025-04-30;2025;11.45;12.29;-0.84;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.757.217/0001-03;;BRADESCO FIF - CIC MULTI MAIS - RESP LIMITADA;2025-04-30;2021;0.06;4.40;1.47;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.757.217/0001-03;;BRADESCO FIF - CIC MULTI MAIS - RESP LIMITADA;2025-04-30;2022;11.43;12.37;92.40;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.757.217/0001-03;;BRADESCO FIF - CIC MULTI MAIS - RESP LIMITADA;2025-04-30;2023;11.30;13.05;86.61;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.757.217/0001-03;;BRADESCO FIF - CIC MULTI MAIS - RESP LIMITADA;2025-04-30;2024;7.22;10.87;66.44;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.757.217/0001-03;;BRADESCO FIF - CIC MULTI MAIS - RESP LIMITADA;2025-04-30;2025;3.58;4.07;87.82;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.776.200/0001-01;;CLIC FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-04-30;2021;15.94;-11.17;27.11;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.776.200/0001-01;;CLIC FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-04-30;2022;19.85;4.02;15.83;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.776.200/0001-01;;CLIC FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-04-30;2023;10.98;21.27;-10.29;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.776.200/0001-01;;CLIC FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-04-30;2024;21.95;-9.71;31.66;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.776.200/0001-01;;CLIC FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-04-30;2025;3.84;11.78;-7.94;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;01.822.655/0001-08;;BANRISUL MASTER FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERENCIADO DI LONGO PRAZO RESPONSABILI;2025-04-30;2021;4.02;4.39;91.48;
FI;01.822.655/0001-08;;BANRISUL MASTER FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERENCIADO DI LONGO PRAZO RESPONSABILI;2025-04-30;2022;12.34;12.37;99.78;
FI;01.822.655/0001-08;;BANRISUL MASTER FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERENCIADO DI LONGO PRAZO RESPONSABILI;2025-04-30;2023;12.83;13.04;98.34;
FI;01.822.655/0001-08;;BANRISUL MASTER FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERENCIADO DI LONGO PRAZO RESPONSABILI;2025-04-30;2024;10.70;10.87;98.45;
FI;01.822.655/0001-08;;BANRISUL MASTER FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERENCIADO DI LONGO PRAZO RESPONSABILI;2025-04-30;2025;4.07;4.07;100.11;
CLASSES - FIF;01.960.341/0001-71;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CURTO PRAZO VERSÁTIL - RESP LIMITADA;2025-04-30;2021;2.06;4.40;46.76;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.960.341/0001-71;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CURTO PRAZO VERSÁTIL - RESP LIMITADA;2025-04-30;2022;9.22;12.37;74.53;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.960.341/0001-71;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CURTO PRAZO VERSÁTIL - RESP LIMITADA;2025-04-30;2023;10.00;13.05;76.62;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.960.341/0001-71;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CURTO PRAZO VERSÁTIL - RESP LIMITADA;2025-04-30;2024;7.12;10.87;65.47;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;01.960.341/0001-71;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CURTO PRAZO VERSÁTIL - RESP LIMITADA;2025-04-30;2025;3.25;4.07;79.86;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;02.131.724/0001-08;;BANRISUL INFRA ESTRUTURA FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-04-30;2021;0.64;-11.17;11.81;
FI;02.131.724/0001-08;;BANRISUL INFRA ESTRUTURA FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-04-30;2022;-1.14;4.01;-5.15;
FI;02.131.724/0001-08;;BANRISUL INFRA ESTRUTURA FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-04-30;2023;18.36;21.27;-2.91;
FI;02.131.724/0001-08;;BANRISUL INFRA ESTRUTURA FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-04-30;2024;-12.12;-9.71;-2.41;
FI;02.131.724/0001-08;;BANRISUL INFRA ESTRUTURA FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-04-30;2025;4.20;11.77;-7.57;
FI;02.131.725/0001-44;;BANRISUL ÍNDICE FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-04-30;2021;-13.25;-11.92;-1.33;
FI;02.131.725/0001-44;;BANRISUL ÍNDICE FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-04-30;2022;3.55;4.68;-1.13;
FI;02.131.725/0001-44;;BANRISUL ÍNDICE FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-04-30;2023;16.79;22.28;-5.49;
FI;02.131.725/0001-44;;BANRISUL ÍNDICE FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-04-30;2024;-10.98;-10.36;-0.62;
FI;02.131.725/0001-44;;BANRISUL ÍNDICE FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-04-30;2025;13.04;12.29;0.75;
FI;02.138.442/0001-24;;BRADESCO H DIVIDENDOS FI FINANCEIRO - CIA - RESP LIMITADA;2025-04-30;2021;-7.31;-6.41;114.05;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;02.138.442/0001-24;;BRADESCO H DIVIDENDOS FI FINANCEIRO - CIA - RESP LIMITADA;2025-04-30;2022;11.54;12.65;91.23;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;02.138.442/0001-24;;BRADESCO H DIVIDENDOS FI FINANCEIRO - CIA - RESP LIMITADA;2025-04-30;2023;25.86;26.84;96.37;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;02.138.442/0001-24;;BRADESCO H DIVIDENDOS FI FINANCEIRO - CIA - RESP LIMITADA;2025-04-30;2024;-3.56;-2.62;135.87;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;02.138.442/0001-24;;BRADESCO H DIVIDENDOS FI FINANCEIRO - CIA - RESP LIMITADA;2025-04-30;2025;10.05;10.30;97.53;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;02.171.479/0001-54;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS DE AÇÕES IBOVESPA ATIVO - RESP LIMITADA;2025-04-30;2021;-18.11;-11.93;-6.18;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;02.171.479/0001-54;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS DE AÇÕES IBOVESPA ATIVO - RESP LIMITADA;2025-04-30;2022;2.50;4.69;-2.18;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;02.171.479/0001-54;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS DE AÇÕES IBOVESPA ATIVO - RESP LIMITADA;2025-04-30;2023;15.18;22.28;-7.10;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;02.171.479/0001-54;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS DE AÇÕES IBOVESPA ATIVO - RESP LIMITADA;2025-04-30;2024;-11.09;-10.36;-0.73;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;02.171.479/0001-54;;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS DE AÇÕES IBOVESPA ATIVO - RESP LIMITADA;2025-04-30;2025;10.57;12.29;-1.72;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;02.294.024/0001-26;;BRADESCO H FIF - CIC CAMBIAL LONGO PRAZO DÓLAR - RESPONSABILIDADE LIMITADA;2025-04-30;2021;7.31;7.39;99.04;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;02.294.024/0001-26;;BRADESCO H FIF - CIC CAMBIAL LONGO PRAZO DÓLAR - RESPONSABILIDADE LIMITADA;2025-04-30;2022;-3.74;-6.50;57.51;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;02.294.024/0001-26;;BRADESCO H FIF - CIC CAMBIAL LONGO PRAZO DÓLAR - RESPONSABILIDADE LIMITADA;2025-04-30;2023;-3.40;-7.21;47.09;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;02.294.024/0001-26;;BRADESCO H FIF - CIC CAMBIAL LONGO PRAZO DÓLAR - RESPONSABILIDADE LIMITADA;2025-04-30;2024;34.66;27.91;124.19;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;02.294.024/0001-26;;BRADESCO H FIF - CIC CAMBIAL LONGO PRAZO DÓLAR - RESPONSABILIDADE LIMITADA;2025-04-30;2025;-7.05;-8.58;82.08;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;02.335.944/0001-45;;BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA TARGET I;2025-04-30;2021;4.55;4.40;103.63;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
